Dataset,DecisionTree_ONNX_Clas,KNN_ONN_ClasX,LinearSVC_ONNX_Clas,MLP_ONNX_Clas,RandomForest_ONNX_Clas
CAR,0.96064,0.71663,0.92131,0.99865,0.92843
DIABETES,0.67749,0.69224,0.75084,0.70441,0.5174
GAMMA,0.35636,0.79667,0.78861,0.81269,0.35221
HAR,0.93838,0.89575,0.98385,0.58086,0.93006
IRIS,0.94889,0.77778,0.93556,0.95111,0.94889
LETTER RECOGNITION,0.70927,0.07637,0.702,0.88508,0.61138
MNIST,0.8058,0.57357,0.857,0.88403,0.75633
SOYBEAN,0.90973,0.69587,0.93851,0.88831,0.90728
STUDENT DROPOUT,0.71956,0.68724,0.75987,0.69567,0.7454
WINE,0.90265,0.95132,0.98312,0.97185,0.89709
