Dataset,DecisionTree_ONNX_Clas,KNN_ONN_ClasX,LinearSVC_ONNX_Clas,MLP_ONNX_Clas,RandomForest_ONNX_Clas
CAR,0.91133,0.24862,0.84995,0.99783,0.7983
DIABETES,0.66107,0.57212,0.73463,0.65741,0.5048
GAMMA,0.28385,0.75875,0.76935,0.74975,0.26167
HAR,0.93683,0.89033,0.98474,0.55758,0.92793
IRIS,0.94869,0.73696,0.93578,0.95129,0.94856
LETTER RECOGNITION,0.72497,0.03079,0.69261,0.8853,0.62232
MNIST,0.80245,0.47632,0.85396,0.88022,0.75324
SOYBEAN,0.91378,0.6496,0.95943,0.90922,0.90764
STUDENT DROPOUT,0.64624,0.60265,0.69164,0.63269,0.66253
WINE,0.9038,0.95275,0.98328,0.97251,0.89902
