Dataset,DecisionTree_ONNX_Clas,KNN_ONN_ClasX,LinearSVC_ONNX_Clas,MLP_ONNX_Clas,RandomForest_ONNX_Clas
CAR,0.92293,0.32186,0.82142,0.99819,0.83282
DIABETES,0.66241,0.62044,0.73274,0.65568,0.58297
GAMMA,0.45592,0.79883,0.76814,0.73795,0.499
HAR,0.93728,0.89219,0.98484,0.64729,0.92867
IRIS,0.95241,0.82256,0.94003,0.95473,0.95379
LETTER RECOGNITION,0.77142,0.0236,0.69944,0.89218,0.6817
MNIST,0.80413,0.43592,0.85489,0.89135,0.75826
SOYBEAN,0.92977,0.65894,0.96386,0.92941,0.93481
STUDENT DROPOUT,0.65441,0.61449,0.70524,0.63576,0.68716
WINE,0.91277,0.95616,0.98254,0.97307,0.90669
