Dataset,DecisionTree_ONNX_Clas,KNN_ONN_ClasX,LinearSVC_ONNX_Clas,MLP_ONNX_Clas,RandomForest_ONNX_Clas
CAR,0.90569,0.27361,0.89347,0.99757,0.79126
DIABETES,0.67244,0.59675,0.74455,0.66463,0.58609
GAMMA,0.49427,0.74624,0.77076,0.76987,0.50016
HAR,0.93664,0.8953,0.9847,0.58538,0.92764
IRIS,0.94889,0.77778,0.93556,0.95111,0.94889
LETTER RECOGNITION,0.7086,0.07578,0.70018,0.88468,0.60992
MNIST,0.80228,0.56176,0.85417,0.8822,0.75252
SOYBEAN,0.91806,0.70946,0.96399,0.91535,0.90632
STUDENT DROPOUT,0.64221,0.59921,0.68414,0.63367,0.65443
WINE,0.90253,0.95474,0.9855,0.97393,0.8984
