Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
DecisionTree_ONNX_Clas,0.96064,0.01092,0.91133,0.03426,0.92293,0.02395,0.90569,0.04622,8.41211,1e-05,0.00167,0.01509,CAR
LinearSVC_ONNX_Clas,0.92131,0.01649,0.84995,0.04134,0.82142,0.04675,0.89347,0.04094,1.08203,1e-05,0.00623,0.01418,CAR
KNN_ONN_ClasX,0.71663,0.01784,0.24862,0.04541,0.32186,0.10428,0.27361,0.02789,16.84375,0.00019,0.05607,0.05356,CAR
MLP_ONNX_Clas,0.99865,0.00179,0.99783,0.00401,0.99819,0.00427,0.99757,0.005,8.80762,2e-05,0.11282,0.02532,CAR
RandomForest_ONNX_Clas,0.92843,0.01384,0.7983,0.06636,0.83282,0.05698,0.79126,0.07178,4.50195,1e-05,0.0653,0.01368,CAR
DecisionTree_ONNX_Clas,0.67749,0.05441,0.66107,0.05083,0.66241,0.04728,0.67244,0.04757,8.07129,1e-05,0.00202,0.01507,DIABETES
LinearSVC_ONNX_Clas,0.75084,0.03963,0.73463,0.03984,0.73274,0.03892,0.74455,0.03847,0.60059,1e-05,0.00204,0.01366,DIABETES
KNN_ONN_ClasX,0.69224,0.028,0.57212,0.10072,0.62044,0.15138,0.59675,0.05759,7.53516,9e-05,0.02143,0.0333,DIABETES
MLP_ONNX_Clas,0.70441,0.0357,0.65741,0.08,0.65568,0.09538,0.66463,0.05849,9.33691,2e-05,0.25902,0.03346,DIABETES
RandomForest_ONNX_Clas,0.5174,0.11128,0.5048,0.12103,0.58297,0.07585,0.58609,0.07767,5.33008,1e-05,0.05734,0.01413,DIABETES
DecisionTree_ONNX_Clas,0.35636,0.00412,0.28385,0.00733,0.45592,0.02797,0.49427,0.00298,29.09766,1e-05,0.09428,0.01938,GAMMA
LinearSVC_ONNX_Clas,0.78861,0.0061,0.76935,0.00681,0.76814,0.00662,0.77076,0.0072,0.63965,1e-05,0.01371,0.01409,GAMMA
KNN_ONN_ClasX,0.79667,0.00711,0.75875,0.01581,0.79883,0.01632,0.74624,0.01878,22.6084,0.00068,0.15426,0.10554,GAMMA
MLP_ONNX_Clas,0.81269,0.08247,0.74975,0.17834,0.73795,0.2071,0.76987,0.13512,9.41895,3e-05,4.82107,0.03179,GAMMA
RandomForest_ONNX_Clas,0.35221,0.00082,0.26167,0.00146,0.499,0.16695,0.50016,0.00071,5.33008,1e-05,0.1775,0.01466,GAMMA
DecisionTree_ONNX_Clas,0.93838,0.00454,0.93683,0.00456,0.93728,0.00475,0.93664,0.00447,18.44434,1e-05,2.33942,0.01679,HAR
LinearSVC_ONNX_Clas,0.98385,0.00308,0.98474,0.00288,0.98484,0.00293,0.9847,0.00284,22.40039,1e-05,14.53862,0.01566,HAR
KNN_ONN_ClasX,0.89575,0.04132,0.89033,0.0579,0.89219,0.06624,0.8953,0.04422,915.1875,0.00093,1.72397,0.1898,HAR
