Dataset,DecisionTree_ONNX_Clas,KNN_ONN_ClasX,LinearSVC_ONNX_Clas,MLP_ONNX_Clas,RandomForest_ONNX_Clas
CAR,8.41211,16.84375,1.08203,8.80762,4.50195
DIABETES,8.07129,7.53516,0.60059,9.33691,5.33008
GAMMA,29.09766,22.6084,0.63965,9.41895,5.33008
HAR,18.44434,915.1875,22.40039,31.00293,8.81543
IRIS,1.5957,8.65918,0.55566,8.08887,1.5957
LETTER RECOGNITION,109.78223,96.81934,2.80566,9.03418,22.61426
MNIST,89.25098,1240.45605,46.45117,40.22852,11.60938
SOYBEAN,16.18457,60.7998,4.16016,9.67871,13.00781
STUDENT DROPOUT,27.62988,33.27148,1.34082,9.4043,6.70898
WINE,1.40918,9.81055,0.77734,8.45898,1.40918
