Dataset,DecisionTree_ONNX_Clas,KNN_ONN_ClasX,LinearSVC_ONNX_Clas,MLP_ONNX_Clas,RandomForest_ONNX_Clas
CAR,0.00167,0.05607,0.00623,0.11282,0.0653
DIABETES,0.00202,0.02143,0.00204,0.25902,0.05734
GAMMA,0.09428,0.15426,0.01371,4.82107,0.1775
HAR,2.33942,1.72397,14.53862,6.25904,2.18303
IRIS,0.00082,0.01098,0.00193,0.03075,0.04865
LETTER RECOGNITION,0.03368,0.44808,0.50109,5.12691,0.11855
MNIST,0.64741,2.01421,117.2884,2.11011,0.63623
SOYBEAN,0.00169,0.05982,0.03364,0.11933,0.06661
STUDENT DROPOUT,0.01563,0.08418,0.04132,1.07289,0.07774
WINE,0.00101,0.01121,0.00197,0.01945,0.048
