Dataset,DecisionTree_ONNX_Reg,KNN_ONNX_Reg,LinearRegression_ONNX_Reg,MLP_ONNX_Reg,RandomForest_ONNX_Reg
ABALONE,1e-05,0.00033,1e-05,2e-05,1e-05
AIR QUALITY,1e-05,0.00041,1e-05,2e-05,1e-05
APPLIANCES ENERGY PREDICTION,1e-05,0.00038,1e-05,2e-05,1e-05
AUTOMOBILE,1e-05,4e-05,1e-05,2e-05,1e-05
BIKE SHARING HOURLY,1e-05,0.00039,1e-05,2e-05,1e-05
COMMUNITIES AND CRIME,1e-05,0.00019,1e-05,2e-05,1e-05
OBESITY LEVELS,1e-05,0.00017,1e-05,2e-05,1e-05
REAL ESTATE VALUATION,1e-05,5e-05,1e-05,2e-05,1e-05
STUDENT PERFORMANCE,1e-05,5e-05,1e-05,2e-05,1e-05
WINE QUALITY,1e-05,0.00043,1e-05,2e-05,1e-05
