Dataset,DecisionTree_ONNX_Reg,KNN_ONNX_Reg,LinearRegression_ONNX_Reg,MLP_ONNX_Reg,RandomForest_ONNX_Reg
ABALONE,1.8036,1.67107,1.5852,1.72349,1.5815
AIR QUALITY,0.09565,0.17082,0.10025,0.10374,0.10448
APPLIANCES ENERGY PREDICTION,0.23676,0.2335,0.2631,0.35637,0.23217
AUTOMOBILE,1909.06519,3938.10744,1836.11195,3379.71038,1769.72903
BIKE SHARING HOURLY,36.43437,82.18954,106.01995,63.50757,67.53851
COMMUNITIES AND CRIME,0.12469,0.10684,0.09705,0.11961,0.10521
OBESITY LEVELS,0.06009,0.52314,0.34804,2.13175,0.19541
REAL ESTATE VALUATION,5.98452,6.82502,6.23994,37.98512,5.16391
STUDENT PERFORMANCE,1.14902,2.09929,1.36983,1.97096,1.27948
WINE QUALITY,0.56189,0.65699,0.58567,5.86343,0.5673
