Dataset,DecisionTree_ONNX_Reg,KNN_ONNX_Reg,LinearRegression_ONNX_Reg,MLP_ONNX_Reg,RandomForest_ONNX_Reg
ABALONE,0.0798,0.07398,0.07018,0.07645,0.07004
AIR QUALITY,0.04136,0.07389,0.04337,0.04489,0.04519
APPLIANCES ENERGY PREDICTION,0.05547,0.05467,0.06162,0.08358,0.05438
AUTOMOBILE,0.06368,0.13,0.06274,0.11468,0.0595
BIKE SHARING HOURLY,0.03783,0.08534,0.11009,0.06586,0.07013
COMMUNITIES AND CRIME,0.12478,0.10692,0.09712,0.1197,0.10527
OBESITY LEVELS,0.01001,0.08719,0.05801,0.35529,0.03266
REAL ESTATE VALUATION,0.0895,0.10112,0.09217,0.57376,0.07699
STUDENT PERFORMANCE,0.06174,0.11215,0.07336,0.10578,0.06887
WINE QUALITY,0.10117,0.11833,0.10548,1.05562,0.10216
