Dataset,DecisionTree_ONNX_Reg,KNN_ONNX_Reg,LinearRegression_ONNX_Reg,MLP_ONNX_Reg,RandomForest_ONNX_Reg
ABALONE,0.31095,0.47151,0.52797,0.45932,0.50078
AIR QUALITY,0.83286,0.67685,0.85493,0.84274,0.84743
APPLIANCES ENERGY PREDICTION,0.64248,0.68334,0.62108,0.49936,0.6888
AUTOMOBILE,0.84311,0.42528,0.84668,0.6709,0.86918
BIKE SHARING HOURLY,0.89224,0.54878,0.38781,0.70451,0.70381
COMMUNITIES AND CRIME,0.30799,0.57029,0.65104,0.49181,0.54685
OBESITY LEVELS,0.98418,0.88523,0.5608,-0.80837,0.97475
REAL ESTATE VALUATION,0.49584,0.49948,0.57181,-8.44344,0.64164
STUDENT PERFORMANCE,0.76874,0.57664,0.7957,0.65416,0.80021
WINE QUALITY,0.21155,0.12021,0.27424,-44.1284,0.33044
