Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
DecisionTree_ONNX_Reg,1.8036,0.099,2.66693,0.17127,0.31095,0.06892,37.08105,0.00847,0.01635,1e-05,ABALONE
LinearRegression_ONNX_Reg,1.5852,0.075,2.21042,0.13581,0.52797,0.02901,0.4707,0.00229,0.01472,1e-05,ABALONE
KNN_ONNX_Reg,1.67107,0.05722,2.33974,0.13057,0.47151,0.01727,11.88086,0.06276,0.06459,0.00033,ABALONE
MLP_ONNX_Reg,1.72349,0.11386,2.36335,0.14915,0.45932,0.04754,7.3916,0.61082,0.02056,2e-05,ABALONE
RandomForest_ONNX_Reg,1.5815,0.06701,2.27276,0.12801,0.50078,0.02921,5.08691,0.05176,0.01075,1e-05,ABALONE
DecisionTree_ONNX_Reg,0.09565,0.0027,0.15896,0.00456,0.83286,0.0088,51.25,0.12436,0.0186,1e-05,AIR QUALITY
LinearRegression_ONNX_Reg,0.10025,0.00202,0.14807,0.00388,0.85493,0.00809,1.10352,0.00957,0.01714,1e-05,AIR QUALITY
KNN_ONNX_Reg,0.17082,0.00338,0.22105,0.00446,0.67685,0.01299,46.90527,0.11809,0.07086,0.00041,AIR QUALITY
MLP_ONNX_Reg,0.10374,0.01309,0.15297,0.02031,0.84274,0.04358,9.15723,0.35555,0.02162,2e-05,AIR QUALITY
RandomForest_ONNX_Reg,0.10448,0.00133,0.15184,0.00234,0.84743,0.00739,5.08691,0.16179,0.01095,1e-05,AIR QUALITY
DecisionTree_ONNX_Reg,0.23676,0.00387,0.38768,0.0083,0.64248,0.01793,44.54688,0.17443,0.01791,1e-05,APPLIANCES ENERGY PREDICTION
LinearRegression_ONNX_Reg,0.2631,0.00332,0.39925,0.00624,0.62108,0.01032,0.8252,0.01124,0.01739,1e-05,APPLIANCES ENERGY PREDICTION
KNN_ONNX_Reg,0.2335,0.00302,0.36498,0.00553,0.68334,0.00857,32.06152,0.11373,0.06976,0.00038,APPLIANCES ENERGY PREDICTION
MLP_ONNX_Reg,0.35637,0.01798,0.4585,0.0152,0.49936,0.03948,8.37793,1.30088,0.02095,2e-05,APPLIANCES ENERGY PREDICTION
RandomForest_ONNX_Reg,0.23217,0.00317,0.36183,0.00631,0.6888,0.00894,5.08691,0.21913,0.01151,1e-05,APPLIANCES ENERGY PREDICTION
DecisionTree_ONNX_Reg,1909.06519,308.82489,2829.66643,455.75057,0.84311,0.06595,9.2002,0.00162,0.01176,1e-05,AUTOMOBILE
LinearRegression_ONNX_Reg,1836.11195,204.93543,2620.16761,401.91772,0.84668,0.13709,1.41113,0.00201,0.01384,1e-05,AUTOMOBILE
KNN_ONNX_Reg,3938.10744,685.91622,5708.87954,1376.11085,0.42528,0.08371,7.6377,0.00504,0.02712,4e-05,AUTOMOBILE
MLP_ONNX_Reg,3379.71038,489.878,4005.55702,557.94409,0.6709,0.17945,10.01855,0.33071,0.02175,2e-05,AUTOMOBILE
