Dataset,DecisionTree_ONNX_Reg,KNN_ONNX_Reg,LinearRegression_ONNX_Reg,MLP_ONNX_Reg,RandomForest_ONNX_Reg
ABALONE,2.66693,2.33974,2.21042,2.36335,2.27276
AIR QUALITY,0.15896,0.22105,0.14807,0.15297,0.15184
APPLIANCES ENERGY PREDICTION,0.38768,0.36498,0.39925,0.4585,0.36183
AUTOMOBILE,2829.66643,5708.87954,2620.16761,4005.55702,2589.44826
BIKE SHARING HOURLY,59.48441,121.76187,141.87515,93.83343,98.67599
COMMUNITIES AND CRIME,0.19295,0.15226,0.13709,0.1651,0.15605
OBESITY LEVELS,0.24783,0.6708,0.73932,2.58941,0.31362
REAL ESTATE VALUATION,9.41383,9.45517,8.76055,40.31463,7.97605
STUDENT PERFORMANCE,2.12017,2.95589,2.03991,2.65097,2.01621
WINE QUALITY,0.78546,0.83004,0.75393,5.94142,0.72409
