Dataset,DecisionTree_ONNX_Reg,KNN_ONNX_Reg,LinearRegression_ONNX_Reg,MLP_ONNX_Reg,RandomForest_ONNX_Reg
ABALONE,37.08105,11.88086,0.4707,7.3916,5.08691
AIR QUALITY,51.25,46.90527,1.10352,9.15723,5.08691
APPLIANCES ENERGY PREDICTION,44.54688,32.06152,0.8252,8.37793,5.08691
AUTOMOBILE,9.2002,7.6377,1.41113,10.01855,5.08691
BIKE SHARING HOURLY,67.93262,14.87109,0.5,7.47363,5.08691
COMMUNITIES AND CRIME,29.46484,35.88086,1.79199,11.08496,5.08691
OBESITY LEVELS,7.21973,13.89746,0.72266,8.09082,5.08691
REAL ESTATE VALUATION,14.68457,5.15527,0.41211,7.22754,5.08691
STUDENT PERFORMANCE,9.58203,8.1748,1.17676,9.3623,5.08691
WINE QUALITY,25.27441,13.86523,0.48535,7.43262,5.08691
