Dataset,DecisionTree_ONNX_Reg,KNN_ONNX_Reg,LinearRegression_ONNX_Reg,MLP_ONNX_Reg,RandomForest_ONNX_Reg
ABALONE,0.00847,0.06276,0.00229,0.61082,0.05176
AIR QUALITY,0.12436,0.11809,0.00957,0.35555,0.16179
APPLIANCES ENERGY PREDICTION,0.17443,0.11373,0.01124,1.30088,0.21913
AUTOMOBILE,0.00162,0.00504,0.00201,0.33071,0.04625
BIKE SHARING HOURLY,0.02274,0.10005,0.00467,5.02602,0.07091
COMMUNITIES AND CRIME,0.04091,0.05358,0.04168,0.09468,0.07609
OBESITY LEVELS,0.00396,0.03203,0.0021,0.26284,0.04843
REAL ESTATE VALUATION,0.00126,0.01432,0.00129,0.14164,0.04545
STUDENT PERFORMANCE,0.00197,0.01552,0.00207,0.0973,0.0463
WINE QUALITY,0.01231,0.06757,0.00214,0.94434,0.05477
