Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
MLP_PyTorch_Reg,1.49636,0.09297,2.11786,0.13612,0.56649,0.03217,7.3916,2.23093,0.01346,0.00019,ABALONE
MLP_PyTorch_Reg,0.07988,0.00352,0.1256,0.00437,0.89555,0.00786,12.76855,4.14171,0.0129,0.0002,AIR QUALITY
MLP_PyTorch_Reg,0.22976,0.00489,0.35241,0.00615,0.70469,0.01109,10.39551,8.45359,0.01343,0.00019,APPLIANCES ENERGY PREDICTION
MLP_PyTorch_Reg,1556.70075,201.64231,2180.31464,321.90686,0.90633,0.04002,15.39551,0.13567,0.01496,0.00018,AUTOMOBILE
MLP_PyTorch_Reg,32.76668,2.2718,48.78711,2.6285,0.92747,0.00715,7.64551,7.93064,0.01317,0.00019,BIKE SHARING HOURLY
MLP_PyTorch_Reg,0.10424,0.0052,0.15779,0.00879,0.53723,0.04534,18.64551,1.89417,0.01483,0.00019,COMMUNITIES AND CRIME
MLP_PyTorch_Reg,0.19182,0.01788,0.28489,0.02375,0.97919,0.00358,9.52051,0.76466,0.01414,0.0002,OBESITY LEVELS
MLP_PyTorch_Reg,5.42986,0.54819,8.03742,1.62432,0.63307,0.1062,6.89551,0.26806,0.01291,0.00017,REAL ESTATE VALUATION
MLP_PyTorch_Reg,1.68347,0.14135,2.39335,0.28364,0.717,0.06958,13.39551,0.17936,0.01319,0.00018,STUDENT PERFORMANCE
MLP_PyTorch_Reg,0.55028,0.01898,0.71851,0.02514,0.34048,0.03257,7.52051,5.08846,0.01383,0.00019,WINE QUALITY
