Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
MLP_PyTorch_Reg,1.54522,0.08005,2.17473,0.12115,0.54247,0.03317,8.56543,2.28262,0.02936,0.00023,ABALONE
MLP_PyTorch_Reg,0.08086,0.00355,0.1263,0.0043,0.89438,0.0079,9.87988,4.219,0.02918,0.00024,AIR QUALITY
MLP_PyTorch_Reg,0.23138,0.00459,0.35465,0.00541,0.70094,0.01032,9.31934,8.62729,0.02941,0.00023,APPLIANCES ENERGY PREDICTION
MLP_PyTorch_Reg,1550.05186,207.64371,2176.31262,330.62849,0.90688,0.03897,10.56934,0.13849,0.02914,0.00022,AUTOMOBILE
MLP_PyTorch_Reg,34.66116,3.00786,51.39025,3.75257,0.91938,0.01109,8.63184,8.07953,0.02955,0.00023,BIKE SHARING HOURLY
MLP_PyTorch_Reg,0.10419,0.0053,0.1578,0.00891,0.53709,0.04697,11.38184,1.9276,0.02916,0.00023,COMMUNITIES AND CRIME
MLP_PyTorch_Reg,0.24445,0.02854,0.34182,0.03396,0.96989,0.00591,9.06934,0.7947,0.02901,0.00022,OBESITY LEVELS
MLP_PyTorch_Reg,5.42924,0.54327,8.04161,1.61553,0.63293,0.10464,8.44434,0.27822,0.02976,0.00023,REAL ESTATE VALUATION
MLP_PyTorch_Reg,1.66568,0.13743,2.36151,0.27202,0.72508,0.06466,10.06934,0.18608,0.02894,0.00023,STUDENT PERFORMANCE
MLP_PyTorch_Reg,0.5541,0.02028,0.72166,0.02574,0.33464,0.03433,8.56934,5.19213,0.02942,0.00022,WINE QUALITY
