Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_PyTorch_Clas,0.99518,0.00418,0.9856,0.01315,0.98974,0.01191,0.98266,0.0173,8.94043,0.00018,0.85336,0.03075,CAR
MLP_PyTorch_Clas,0.72263,0.02412,0.69575,0.02271,0.69785,0.02511,0.69731,0.02261,8.50488,0.00017,1.18774,0.02873,DIABETES
MLP_PyTorch_Clas,0.87222,0.00609,0.85536,0.0071,0.87032,0.00793,0.84545,0.00789,8.56934,0.00016,14.27541,0.02936,GAMMA
MLP_PyTorch_Clas,0.97553,0.00608,0.9766,0.00594,0.97728,0.00514,0.97689,0.00578,25.81934,0.00018,4.97459,0.02892,HAR
MLP_PyTorch_Clas,0.95556,0.0337,0.95554,0.03361,0.95843,0.03259,0.95556,0.0337,8.38184,0.00017,0.16502,0.02962,IRIS
MLP_PyTorch_Clas,0.8947,0.00897,0.89455,0.00916,0.8994,0.00759,0.89433,0.00905,9.56934,0.00017,20.11384,0.02852,LETTER RECOGNITION
MLP_PyTorch_Clas,0.92223,0.00769,0.9208,0.00811,0.9226,0.00679,0.92093,0.00818,33.00684,0.00017,5.54701,0.02831,MNIST
MLP_PyTorch_Clas,0.93754,0.02026,0.95916,0.015,0.96673,0.00861,0.95853,0.01862,9.88184,0.00017,0.60501,0.02944,SOYBEAN
MLP_PyTorch_Clas,0.71926,0.01288,0.6464,0.01489,0.65022,0.0161,0.64568,0.0138,9.38184,0.00017,5.86216,0.03012,STUDENT DROPOUT
MLP_PyTorch_Clas,0.98132,0.02212,0.9811,0.02249,0.9813,0.02263,0.98192,0.02173,8.63184,0.00018,0.10642,0.02925,WINE
