Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_PyTorch_Clas,0.99614,0.00292,0.99312,0.00753,0.99368,0.0081,0.99292,0.00808,8.9541,0.00013,1.36703,0.01487,CAR
MLP_PyTorch_Clas,0.72917,0.02997,0.70263,0.03136,0.70332,0.03142,0.70344,0.03096,7.20605,0.00013,1.27259,0.01502,DIABETES
MLP_PyTorch_Clas,0.87695,0.00463,0.86039,0.005,0.87708,0.00821,0.8496,0.00544,7.45801,0.00014,13.3082,0.01473,GAMMA
MLP_PyTorch_Clas,0.97922,0.00513,0.98012,0.00502,0.98033,0.00488,0.98014,0.00506,76.58301,0.00014,5.75375,0.01451,HAR
MLP_PyTorch_Clas,0.94889,0.04366,0.94902,0.04315,0.95324,0.04153,0.94889,0.04366,6.77051,0.00013,0.207,0.01523,IRIS
MLP_PyTorch_Clas,0.90398,0.0088,0.90356,0.00887,0.90661,0.00833,0.90365,0.00883,9.77051,0.00014,24.83966,0.01511,LETTER RECOGNITION
MLP_PyTorch_Clas,0.93043,0.00616,0.92946,0.00621,0.93024,0.0061,0.92946,0.00623,104.70801,0.00015,6.76274,0.01511,MNIST
MLP_PyTorch_Clas,0.93414,0.01988,0.95485,0.01704,0.96431,0.01094,0.95402,0.01993,11.70801,0.00013,0.95246,0.01506,SOYBEAN
MLP_PyTorch_Clas,0.7289,0.01816,0.65972,0.0192,0.6663,0.02147,0.6565,0.01818,10.77051,0.00014,5.81415,0.0149,STUDENT DROPOUT
MLP_PyTorch_Clas,0.97947,0.02163,0.97953,0.02169,0.98034,0.02129,0.98007,0.02129,7.89551,0.00013,0.13572,0.01526,WINE
