Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_PyTorch_Clas,0.99633,0.00441,0.98868,0.01646,0.9918,0.01515,0.98686,0.01814,8.94043,0.00017,0.73584,0.03089,CAR
MLP_PyTorch_Clas,0.70354,0.03881,0.67305,0.04022,0.67556,0.04201,0.67318,0.03919,8.50488,0.00017,0.98513,0.02965,DIABETES
MLP_PyTorch_Clas,0.87017,0.00538,0.85292,0.00541,0.86876,0.0101,0.84289,0.00593,8.56738,0.00017,14.99262,0.02928,GAMMA
MLP_PyTorch_Clas,0.97611,0.00508,0.97715,0.00498,0.97799,0.0047,0.97717,0.00492,25.81738,0.00018,5.20246,0.02914,HAR
MLP_PyTorch_Clas,0.95333,0.04838,0.95359,0.04792,0.957,0.04543,0.95333,0.04838,8.38184,0.00017,0.1385,0.02997,IRIS
MLP_PyTorch_Clas,0.89425,0.00701,0.8943,0.00688,0.89999,0.00636,0.89382,0.00708,9.56934,0.00017,18.44524,0.02909,LETTER RECOGNITION
MLP_PyTorch_Clas,0.92307,0.00354,0.92198,0.00332,0.92386,0.00325,0.9217,0.00328,33.00684,0.00019,4.60766,0.03012,MNIST
MLP_PyTorch_Clas,0.93168,0.0159,0.95374,0.01446,0.96312,0.01134,0.95261,0.01668,9.88184,0.00017,0.59257,0.02939,SOYBEAN
MLP_PyTorch_Clas,0.71301,0.01264,0.64264,0.01309,0.64474,0.01414,0.64298,0.01164,9.38184,0.00018,4.7299,0.02956,STUDENT DROPOUT
MLP_PyTorch_Clas,0.98127,0.02241,0.9814,0.02243,0.98221,0.02276,0.98176,0.02167,8.63184,0.00017,0.08601,0.02923,WINE
