Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
MLP_PyTorch_Reg,1.56227,0.07783,2.19483,0.12349,0.53321,0.04307,8.56543,2.45827,0.03105,0.00023,ABALONE
MLP_PyTorch_Reg,0.08265,0.00314,0.12767,0.0037,0.8921,0.00724,9.87988,4.57504,0.02938,0.00023,AIR QUALITY
MLP_PyTorch_Reg,0.23165,0.00847,0.35485,0.00795,0.70049,0.01494,9.31738,10.7246,0.03014,0.00023,APPLIANCES ENERGY PREDICTION
MLP_PyTorch_Reg,1516.02578,165.81554,2129.73736,293.11185,0.91034,0.03835,10.56738,0.12731,0.03073,0.00024,AUTOMOBILE
MLP_PyTorch_Reg,34.48912,2.47172,51.53889,3.0435,0.91887,0.0103,8.63184,6.46614,0.02994,0.00023,BIKE SHARING HOURLY
MLP_PyTorch_Reg,0.10884,0.00706,0.16072,0.00958,0.51963,0.05186,11.38184,1.79849,0.03008,0.00023,COMMUNITIES AND CRIME
MLP_PyTorch_Reg,0.24027,0.02437,0.34282,0.03085,0.96983,0.00541,9.06934,0.6854,0.0292,0.00023,OBESITY LEVELS
MLP_PyTorch_Reg,5.38362,0.57032,8.01696,1.54866,0.63415,0.10776,8.44434,0.2728,0.02883,0.00022,REAL ESTATE VALUATION
MLP_PyTorch_Reg,1.66034,0.12104,2.37061,0.22721,0.72273,0.06161,10.06934,0.16323,0.02872,0.00022,STUDENT PERFORMANCE
MLP_PyTorch_Reg,0.54603,0.0168,0.71198,0.02359,0.35256,0.02653,8.56934,4.16164,0.02897,0.00023,WINE QUALITY
