Dataset,DecisionTree_Clas,KNN_Clas,LinearSVC_Clas,MLP_Clas,RandomForest_Clas
CAR,0.96064,0.83719,0.92131,0.99884,0.94966
DIABETES,0.70353,0.7348,0.75084,0.69964,0.74953
GAMMA,0.84602,0.84103,0.78861,0.87452,0.86712
HAR,0.93838,0.96346,0.98385,0.9809,0.96718
IRIS,0.94889,0.96,0.93556,0.95111,0.95556
LETTER RECOGNITION,0.70927,0.95158,0.702,0.90217,0.84027
MNIST,0.8058,0.91263,0.857,0.92077,0.92317
SOYBEAN,0.90973,0.90823,0.93851,0.92925,0.93898
STUDENT DROPOUT,0.71956,0.70328,0.75987,0.72378,0.76401
WINE,0.90265,0.96603,0.98312,0.97571,0.98111
