Dataset,DecisionTree_Clas,KNN_Clas,LinearSVC_Clas,MLP_Clas,RandomForest_Clas
CAR,0.91133,0.56636,0.84995,0.99861,0.86791
DIABETES,0.67388,0.6986,0.73463,0.67436,0.71592
GAMMA,0.82337,0.81466,0.76935,0.85829,0.84705
HAR,0.93683,0.96493,0.98474,0.98162,0.96693
IRIS,0.94869,0.95994,0.93578,0.95117,0.95541
LETTER RECOGNITION,0.72497,0.95135,0.69261,0.90191,0.8432
MNIST,0.80245,0.91146,0.85396,0.91968,0.92206
SOYBEAN,0.91378,0.93228,0.95943,0.9543,0.96223
STUDENT DROPOUT,0.64624,0.61125,0.69164,0.6576,0.67459
WINE,0.9038,0.96666,0.98328,0.97627,0.98179
