Dataset,DecisionTree_Clas,KNN_Clas,LinearSVC_Clas,MLP_Clas,RandomForest_Clas
CAR,6e-05,0.00087,0.00016,0.00021,0.01401
DIABETES,6e-05,0.00045,0.00016,0.00017,0.01397
GAMMA,5e-05,0.00048,0.00016,0.00021,0.014
HAR,6e-05,0.0023,0.00024,0.00036,0.01403
IRIS,6e-05,0.00042,0.00016,0.0002,0.0141
LETTER RECOGNITION,6e-05,0.00079,0.00019,0.00023,0.01397
MNIST,6e-05,0.00395,0.00025,0.00031,0.01397
SOYBEAN,6e-05,0.00115,0.00016,0.00021,0.01398
STUDENT DROPOUT,6e-05,0.00078,0.00016,0.00021,0.014
WINE,6e-05,0.00043,0.00016,0.0002,0.01398
