Dataset,DecisionTree_Clas,KNN_Clas,LinearSVC_Clas,MLP_Clas,RandomForest_Clas
CAR,0.92293,0.67076,0.82142,0.99782,0.89893
DIABETES,0.67588,0.71008,0.73274,0.67308,0.72627
GAMMA,0.84446,0.84546,0.76814,0.87207,0.87172
HAR,0.93728,0.9655,0.98484,0.98206,0.96723
IRIS,0.95241,0.96364,0.94003,0.95468,0.95859
LETTER RECOGNITION,0.77142,0.95191,0.69944,0.90476,0.85834
MNIST,0.80413,0.91385,0.85489,0.92131,0.92307
SOYBEAN,0.92977,0.94552,0.96386,0.95966,0.97251
STUDENT DROPOUT,0.65441,0.64029,0.70524,0.66426,0.71404
WINE,0.91277,0.96619,0.98254,0.97671,0.98128
