Dataset,DecisionTree_Clas,KNN_Clas,LinearSVC_Clas,MLP_Clas,RandomForest_Clas
CAR,0.90569,0.53025,0.89347,0.99944,0.85205
DIABETES,0.67509,0.69394,0.74455,0.6784,0.71089
GAMMA,0.81123,0.79953,0.77076,0.84899,0.833
HAR,0.93664,0.96462,0.9847,0.98157,0.96682
IRIS,0.94889,0.96,0.93556,0.95111,0.95556
LETTER RECOGNITION,0.7086,0.9513,0.70018,0.90176,0.83948
MNIST,0.80228,0.91079,0.85417,0.9196,0.92182
SOYBEAN,0.91806,0.9293,0.96399,0.95468,0.9603
STUDENT DROPOUT,0.64221,0.60349,0.68414,0.6546,0.66531
WINE,0.90253,0.97217,0.9855,0.97762,0.98381
