Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
DecisionTree_Clas,0.96064,0.01092,0.91133,0.03426,0.92293,0.02395,0.90569,0.04622,14.74512,6e-05,0.0015,0.0,CAR
LinearSVC_Clas,0.92131,0.01649,0.84995,0.04134,0.82142,0.04675,0.89347,0.04094,2.12402,0.00016,0.00593,0.0,CAR
KNN_Clas,0.83719,0.02379,0.56636,0.08695,0.67076,0.10218,0.53025,0.07625,125.71777,0.00087,0.00148,0.0,CAR
MLP_Clas,0.99884,0.00206,0.99861,0.00318,0.99782,0.00507,0.99944,0.00115,28.95996,0.00021,0.11601,0.0,CAR
RandomForest_Clas,0.94966,0.01224,0.86791,0.04125,0.89893,0.02839,0.85205,0.05022,610.75391,0.01401,0.04999,0.0,CAR
DecisionTree_Clas,0.70353,0.04009,0.67388,0.04376,0.67588,0.04462,0.67509,0.04462,16.69043,6e-05,0.0018,0.0,DIABETES
LinearSVC_Clas,0.75084,0.03963,0.73463,0.03984,0.73274,0.03892,0.74455,0.03847,1.19141,0.00016,0.00177,0.0,DIABETES
KNN_Clas,0.7348,0.03302,0.6986,0.03561,0.71008,0.04062,0.69394,0.03334,73.74805,0.00045,0.00134,0.0,DIABETES
MLP_Clas,0.69964,0.02714,0.67436,0.03183,0.67308,0.0298,0.6784,0.03326,23.32324,0.00017,0.25562,0.0,DIABETES
RandomForest_Clas,0.74953,0.02389,0.71592,0.02625,0.72627,0.02925,0.71089,0.02459,279.85449,0.01397,0.04158,0.0,DIABETES
DecisionTree_Clas,0.84602,0.00439,0.82337,0.00529,0.84446,0.00552,0.81123,0.0057,59.81836,5e-05,0.09407,0.0,GAMMA
LinearSVC_Clas,0.78861,0.0061,0.76935,0.00681,0.76814,0.00662,0.77076,0.0072,1.25391,0.00016,0.01466,0.0,GAMMA
KNN_Clas,0.84103,0.0051,0.81466,0.00618,0.84546,0.00601,0.79953,0.00614,2118.52051,0.00048,0.0123,0.0,GAMMA
MLP_Clas,0.87452,0.00395,0.85829,0.00494,0.87207,0.00564,0.84899,0.00663,23.55371,0.00021,4.90474,0.0,GAMMA
RandomForest_Clas,0.86712,0.0054,0.84705,0.00626,0.87172,0.00703,0.833,0.00624,874.18457,0.014,0.08676,0.0,GAMMA
DecisionTree_Clas,0.93838,0.00454,0.93683,0.00456,0.93728,0.00475,0.93664,0.00447,30.57715,6e-05,2.34545,0.0,HAR
LinearSVC_Clas,0.98385,0.00308,0.98474,0.00288,0.98484,0.00293,0.9847,0.00284,40.4834,0.00024,14.43893,0.0,HAR
KNN_Clas,0.96346,0.00534,0.96493,0.00513,0.9655,0.00515,0.96462,0.00511,36188.59082,0.0023,0.0436,0.0,HAR
MLP_Clas,0.9809,0.00516,0.98162,0.00517,0.98206,0.00466,0.98157,0.00535,603.55078,0.00036,21.28463,0.0,HAR
RandomForest_Clas,0.96718,0.0043,0.96693,0.00435,0.96723,0.00428,0.96682,0.00435,853.61426,0.01403,0.21165,0.0,HAR
DecisionTree_Clas,0.94889,0.04193,0.94869,0.04206,0.95241,0.0415,0.94889,0.04193,2.6084,6e-05,0.00063,0.0,IRIS
LinearSVC_Clas,0.93556,0.05506,0.93578,0.05439,0.94003,0.05277,0.93556,0.05506,1.14844,0.00016,0.0017,0.0,IRIS
KNN_Clas,0.96,0.03031,0.95994,0.03022,0.96364,0.02796,0.96,0.03031,9.41797,0.00042,0.00113,0.0,IRIS
MLP_Clas,0.95111,0.03624,0.95117,0.03614,0.95468,0.03493,0.95111,0.03624,20.50293,0.0002,0.02903,0.0,IRIS
RandomForest_Clas,0.95556,0.03143,0.95541,0.03153,0.95859,0.0308,0.95556,0.03143,36.69336,0.0141,0.03193,0.0,IRIS
DecisionTree_Clas,0.70927,0.0057,0.72497,0.00452,0.77142,0.00681,0.7086,0.0056,160.3584,6e-05,0.03333,0.0,LETTER RECOGNITION
LinearSVC_Clas,0.702,0.00568,0.69261,0.00599,0.69944,0.00603,0.70018,0.0058,4.8584,0.00019,0.50865,0.0,LETTER RECOGNITION
KNN_Clas,0.95158,0.00348,0.95135,0.00355,0.95191,0.00347,0.9513,0.00355,1126.53125,0.00079,0.00379,0.0,LETTER RECOGNITION
MLP_Clas,0.90217,0.00646,0.90191,0.00654,0.90476,0.00641,0.90176,0.00651,33.92578,0.00023,5.06749,0.0,LETTER RECOGNITION
RandomForest_Clas,0.84027,0.00803,0.8432,0.00745,0.85834,0.00546,0.83948,0.0081,3696.67871,0.01397,0.06213,0.0,LETTER RECOGNITION
DecisionTree_Clas,0.8058,0.00961,0.80245,0.00944,0.80413,0.00945,0.80228,0.00944,138.51758,6e-05,0.65606,0.0,MNIST
LinearSVC_Clas,0.857,0.00681,0.85396,0.00672,0.85489,0.00667,0.85417,0.00672,80.66797,0.00025,116.29565,0.0,MNIST
KNN_Clas,0.91263,0.00536,0.91146,0.00553,0.91385,0.00537,0.91079,0.00543,24581.98926,0.00395,0.03944,0.0,MNIST
MLP_Clas,0.92077,0.00719,0.91968,0.00744,0.92131,0.00698,0.9196,0.0072,430.11328,0.00031,2.1041,0.0,MNIST
RandomForest_Clas,0.92317,0.00343,0.92206,0.00348,0.92307,0.0033,0.92182,0.00358,2831.25293,0.01397,0.09353,0.0,MNIST
DecisionTree_Clas,0.90973,0.01542,0.91378,0.02613,0.92977,0.0254,0.91806,0.02537,25.46777,6e-05,0.00132,0.0,SOYBEAN
LinearSVC_Clas,0.93851,0.01667,0.95943,0.01584,0.96386,0.01391,0.96399,0.01502,7.17578,0.00016,0.0322,0.0,SOYBEAN
KNN_Clas,0.90823,0.02243,0.93228,0.02418,0.94552,0.02594,0.9293,0.02305,80.86328,0.00115,0.00141,0.0,SOYBEAN
MLP_Clas,0.92925,0.01544,0.9543,0.017,0.95966,0.01557,0.95468,0.01753,40.67188,0.00021,0.11715,0.0,SOYBEAN
RandomForest_Clas,0.93898,0.01626,0.96223,0.01637,0.97251,0.01207,0.9603,0.01799,543.35352,0.01398,0.04981,0.0,SOYBEAN
DecisionTree_Clas,0.71956,0.01252,0.64624,0.01217,0.65441,0.01348,0.64221,0.01172,48.1582,6e-05,0.01575,0.0,STUDENT DROPOUT
LinearSVC_Clas,0.75987,0.00959,0.69164,0.01252,0.70524,0.01238,0.68414,0.01261,2.66016,0.00016,0.03974,0.0,STUDENT DROPOUT
KNN_Clas,0.70328,0.0153,0.61125,0.02046,0.64029,0.02305,0.60349,0.01858,527.23047,0.00078,0.002,0.0,STUDENT DROPOUT
MLP_Clas,0.72378,0.01089,0.6576,0.01311,0.66426,0.01241,0.6546,0.01277,37.41113,0.00021,1.06595,0.0,STUDENT DROPOUT
RandomForest_Clas,0.76401,0.0091,0.67459,0.01398,0.71404,0.01459,0.66531,0.01252,937.6416,0.014,0.05064,0.0,STUDENT DROPOUT
DecisionTree_Clas,0.90265,0.04803,0.9038,0.04823,0.91277,0.04634,0.90253,0.04965,2.26465,6e-05,0.00082,0.0,WINE
LinearSVC_Clas,0.98312,0.01729,0.98328,0.01706,0.98254,0.01831,0.9855,0.01458,1.57324,0.00016,0.00172,0.0,WINE
KNN_Clas,0.96603,0.03625,0.96666,0.03554,0.96619,0.03504,0.97217,0.02935,27.34277,0.00043,0.00113,0.0,WINE
MLP_Clas,0.97571,0.02014,0.97627,0.01974,0.97671,0.01999,0.97762,0.01869,24.49023,0.0002,0.01915,0.0,WINE
RandomForest_Clas,0.98111,0.02677,0.98179,0.02605,0.98128,0.02621,0.98381,0.02316,38.24316,0.01398,0.0331,0.0,WINE
