Dataset,DecisionTree_Clas,KNN_Clas,LinearSVC_Clas,MLP_Clas,RandomForest_Clas
CAR,14.74512,125.71777,2.12402,28.95996,610.75391
DIABETES,16.69043,73.74805,1.19141,23.32324,279.85449
GAMMA,59.81836,2118.52051,1.25391,23.55371,874.18457
HAR,30.57715,36188.59082,40.4834,603.55078,853.61426
IRIS,2.6084,9.41797,1.14844,20.50293,36.69336
LETTER RECOGNITION,160.3584,1126.53125,4.8584,33.92578,3696.67871
MNIST,138.51758,24581.98926,80.66797,430.11328,2831.25293
SOYBEAN,25.46777,80.86328,7.17578,40.67188,543.35352
STUDENT DROPOUT,48.1582,527.23047,2.66016,37.41113,937.6416
WINE,2.26465,27.34277,1.57324,24.49023,38.24316
