Dataset,DecisionTree_Clas,KNN_Clas,LinearSVC_Clas,MLP_Clas,RandomForest_Clas
CAR,0.0015,0.00148,0.00593,0.11601,0.04999
DIABETES,0.0018,0.00134,0.00177,0.25562,0.04158
GAMMA,0.09407,0.0123,0.01466,4.90474,0.08676
HAR,2.34545,0.0436,14.43893,21.28463,0.21165
IRIS,0.00063,0.00113,0.0017,0.02903,0.03193
LETTER RECOGNITION,0.03333,0.00379,0.50865,5.06749,0.06213
MNIST,0.65606,0.03944,116.29565,2.1041,0.09353
SOYBEAN,0.00132,0.00141,0.0322,0.11715,0.04981
STUDENT DROPOUT,0.01575,0.002,0.03974,1.06595,0.05064
WINE,0.00082,0.00113,0.00172,0.01915,0.0331
