Dataset,DecisionTree_Reg,KNN_Reg,LinearRegression_Reg,MLP_Reg,RandomForest_Reg
ABALONE,6e-05,0.0004,0.00013,0.00015,0.01402
AIR QUALITY,6e-05,0.00074,0.00018,0.0002,0.014
APPLIANCES ENERGY PREDICTION,6e-05,0.00075,0.00016,0.00021,0.01403
AUTOMOBILE,5e-05,0.00069,0.00016,0.00014,0.01399
BIKE SHARING HOURLY,5e-05,0.00041,0.00013,0.00015,0.014
COMMUNITIES AND CRIME,5e-05,0.00087,0.00019,0.00015,0.01401
OBESITY LEVELS,5e-05,0.00078,0.00015,0.00014,0.01402
REAL ESTATE VALUATION,6e-05,0.00038,0.00013,0.00014,0.01402
STUDENT PERFORMANCE,6e-05,0.00127,0.00014,0.00015,0.01403
WINE QUALITY,5e-05,0.00044,0.00016,0.00014,0.01402
