Dataset,DecisionTree_Reg,KNN_Reg,LinearRegression_Reg,MLP_Reg,RandomForest_Reg
ABALONE,1.8036,1.62022,1.5852,1.50506,1.53534
AIR QUALITY,0.09565,0.10355,0.10025,0.09264,0.08477
APPLIANCES ENERGY PREDICTION,0.23676,0.26437,0.2631,0.23902,0.23119
AUTOMOBILE,1909.06518,2279.53842,1836.11185,1810.37661,1490.5381
BIKE SHARING HOURLY,36.43437,67.51863,106.01995,33.42381,59.4831
COMMUNITIES AND CRIME,0.12469,0.10035,0.09705,0.10934,0.09592
OBESITY LEVELS,0.06009,0.31648,0.34804,0.19874,0.25872
REAL ESTATE VALUATION,5.98452,5.54597,6.23994,5.31513,4.65125
STUDENT PERFORMANCE,1.14902,2.84957,1.36978,1.96351,1.68986
WINE QUALITY,0.56189,0.40591,0.58567,0.55812,0.51229
