Dataset,DecisionTree_Reg,KNN_Reg,LinearRegression_Reg,MLP_Reg,RandomForest_Reg
ABALONE,0.0798,0.07181,0.07018,0.06662,0.06807
AIR QUALITY,0.04136,0.04479,0.04337,0.04006,0.03667
APPLIANCES ENERGY PREDICTION,0.05547,0.0619,0.06162,0.056,0.05414
AUTOMOBILE,0.06368,0.07564,0.06274,0.06142,0.04927
BIKE SHARING HOURLY,0.03783,0.07011,0.11009,0.0347,0.06176
COMMUNITIES AND CRIME,0.12478,0.10042,0.09712,0.10942,0.09599
OBESITY LEVELS,0.01001,0.05275,0.05801,0.03312,0.04312
REAL ESTATE VALUATION,0.0895,0.0828,0.09217,0.07907,0.06918
STUDENT PERFORMANCE,0.06174,0.15261,0.07336,0.1054,0.09062
WINE QUALITY,0.10117,0.07299,0.10548,0.10046,0.09224
