Dataset,DecisionTree_Reg,KNN_Reg,LinearRegression_Reg,MLP_Reg,RandomForest_Reg
ABALONE,0.31095,0.48702,0.52797,0.56687,0.5403
AIR QUALITY,0.83286,0.84806,0.85493,0.87918,0.88917
APPLIANCES ENERGY PREDICTION,0.64248,0.61135,0.62108,0.68788,0.69304
AUTOMOBILE,0.84311,0.78158,0.84668,0.86248,0.90958
BIKE SHARING HOURLY,0.89224,0.67717,0.38781,0.92571,0.76308
COMMUNITIES AND CRIME,0.30799,0.59557,0.65104,0.55782,0.64034
OBESITY LEVELS,0.98418,0.88298,0.5608,0.97471,0.96036
REAL ESTATE VALUATION,0.49584,0.60493,0.57181,0.65777,0.71083
STUDENT PERFORMANCE,0.76874,0.31862,0.79571,0.65802,0.71844
WINE QUALITY,0.21155,0.47764,0.27424,0.33979,0.44201
