Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
DecisionTree_Reg,1.8036,0.099,2.66693,0.17127,0.31095,0.06892,69.03223,0.0083,0.0,6e-05,ABALONE
LinearRegression_Reg,1.5852,0.075,2.21042,0.13581,0.52797,0.02901,1.16602,0.0019,0.0,0.00013,ABALONE
KNN_Reg,1.62022,0.05917,2.30422,0.12742,0.48702,0.02552,456.23047,0.00268,0.0,0.0004,ABALONE
MLP_Reg,1.50506,0.09437,2.11717,0.13877,0.56687,0.03133,22.72266,0.59644,0.0,0.00015,ABALONE
RandomForest_Reg,1.53534,0.06241,2.18104,0.12087,0.5403,0.02526,1171.95801,0.03044,0.0,0.01402,ABALONE
DecisionTree_Reg,0.09565,0.0027,0.15896,0.00456,0.83286,0.0088,95.18848,0.12567,0.0,6e-05,AIR QUALITY
LinearRegression_Reg,0.10025,0.00202,0.14807,0.00388,0.85493,0.00809,2.51855,0.0095,0.0,0.00018,AIR QUALITY
KNN_Reg,0.10355,0.00197,0.15154,0.00335,0.84806,0.00768,1580.02246,0.00361,0.0,0.00074,AIR QUALITY
MLP_Reg,0.09264,0.00499,0.13504,0.0046,0.87918,0.01,44.53223,0.37067,0.0,0.0002,AIR QUALITY
RandomForest_Reg,0.08477,0.00161,0.12942,0.00328,0.88917,0.00615,1775.4502,0.05528,0.0,0.014,AIR QUALITY
DecisionTree_Reg,0.23676,0.00387,0.38768,0.0083,0.64248,0.01793,82.81348,0.17662,0.0,6e-05,APPLIANCES ENERGY PREDICTION
LinearRegression_Reg,0.2631,0.00332,0.39925,0.00624,0.62108,0.01032,1.9248,0.01054,0.0,0.00016,APPLIANCES ENERGY PREDICTION
KNN_Reg,0.26437,0.00299,0.40435,0.00717,0.61135,0.0112,2159.87012,0.00503,0.0,0.00075,APPLIANCES ENERGY PREDICTION
MLP_Reg,0.23902,0.00786,0.36224,0.00655,0.68788,0.01423,34.82812,1.32472,0.0,0.00021,APPLIANCES ENERGY PREDICTION
RandomForest_Reg,0.23119,0.00356,0.35933,0.00729,0.69304,0.01122,1415.30957,0.07684,0.0,0.01403,APPLIANCES ENERGY PREDICTION
DecisionTree_Reg,1909.06518,308.82488,2829.6665,455.75059,0.84311,0.06595,17.55176,0.00136,0.0,5e-05,AUTOMOBILE
LinearRegression_Reg,1836.11185,204.93547,2620.1674,401.91781,0.84668,0.13709,3.18066,0.00184,0.0,0.00016,AUTOMOBILE
