Dataset,DecisionTree_Reg,KNN_Reg,LinearRegression_Reg,MLP_Reg,RandomForest_Reg
ABALONE,2.66693,2.30422,2.21042,2.11717,2.18104
AIR QUALITY,0.15896,0.15154,0.14807,0.13504,0.12942
APPLIANCES ENERGY PREDICTION,0.38768,0.40435,0.39925,0.36224,0.35933
AUTOMOBILE,2829.6665,3432.03105,2620.1674,2555.81303,2196.23381
BIKE SHARING HOURLY,59.48442,103.00926,141.87515,49.32503,88.25182
COMMUNITIES AND CRIME,0.19295,0.14753,0.13709,0.15412,0.13918
OBESITY LEVELS,0.24783,0.6776,0.73932,0.314,0.39354
REAL ESTATE VALUATION,9.41383,8.37055,8.76055,7.78764,7.17545
STUDENT PERFORMANCE,2.12017,3.74058,2.0399,2.63539,2.39924
WINE QUALITY,0.78546,0.63943,0.75393,0.71879,0.66104
