Dataset,DecisionTree_Reg,KNN_Reg,LinearRegression_Reg,MLP_Reg,RandomForest_Reg
ABALONE,69.03223,456.23047,1.16602,22.72266,1171.95801
AIR QUALITY,95.18848,1580.02246,2.51855,44.53223,1775.4502
APPLIANCES ENERGY PREDICTION,82.81348,2159.87012,1.9248,34.82812,1415.30957
AUTOMOBILE,17.55176,49.56543,3.18066,64.53516,232.02148
BIKE SHARING HOURLY,125.98535,2231.62598,1.22852,25.17773,2195.91895
COMMUNITIES AND CRIME,54.96094,632.58887,3.99316,69.17773,923.1748
OBESITY LEVELS,13.89551,186.2168,1.69727,31.43555,505.90527
REAL ESTATE VALUATION,27.67969,30.65625,1.04102,21.96289,433.4834
STUDENT PERFORMANCE,18.25488,75.15527,2.6748,48.24414,347.50879
WINE QUALITY,47.22656,604.54004,1.19727,23.04004,830.22168
