Dataset,DecisionTree_Reg,KNN_Reg,LinearRegression_Reg,MLP_Reg,RandomForest_Reg
ABALONE,0.0083,0.00268,0.0019,0.59644,0.03044
AIR QUALITY,0.12567,0.00361,0.0095,0.37067,0.05528
APPLIANCES ENERGY PREDICTION,0.17662,0.00503,0.01054,1.32472,0.07684
AUTOMOBILE,0.00136,0.00095,0.00184,0.32769,0.02919
BIKE SHARING HOURLY,0.02225,0.01234,0.00401,4.96919,0.03877
COMMUNITIES AND CRIME,0.04078,0.00186,0.03934,0.09599,0.03024
OBESITY LEVELS,0.00384,0.00124,0.00209,0.25534,0.02967
REAL ESTATE VALUATION,0.00113,0.001,0.00126,0.14215,0.02959
STUDENT PERFORMANCE,0.0019,0.001,0.00191,0.09221,0.02986
WINE QUALITY,0.01212,0.00369,0.00207,0.92513,0.02985
