Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
MLP_TFLite_Reg,1.51911,0.0877,2.23452,0.31418,0.51496,0.11405,5.42578,14.07163,0.211,0.00012,ABALONE
MLP_TFLite_Reg,0.08082,0.0032,0.12818,0.00546,0.89106,0.01069,10.88672,19.96441,0.23906,0.00012,AIR QUALITY
MLP_TFLite_Reg,0.23445,0.00444,0.36344,0.00708,0.68603,0.00894,8.51172,50.71851,0.25003,0.00012,APPLIANCES ENERGY PREDICTION
MLP_TFLite_Reg,1690.89924,171.25564,2268.46646,321.82952,0.89327,0.05916,13.51172,2.70241,0.21146,0.00012,AUTOMOBILE
MLP_TFLite_Reg,31.48545,1.21299,47.00402,1.33411,0.93274,0.00381,5.77344,25.23757,0.21426,0.00012,BIKE SHARING HOURLY
MLP_TFLite_Reg,0.1065,0.0074,0.15853,0.01246,0.53027,0.08356,16.77344,5.98529,0.21492,0.00012,COMMUNITIES AND CRIME
MLP_TFLite_Reg,0.2048,0.01823,0.31763,0.03502,0.97403,0.00568,7.64844,3.99678,0.21255,0.00012,OBESITY LEVELS
MLP_TFLite_Reg,5.49618,0.7492,8.14782,1.72983,0.62423,0.10875,5.02344,4.02144,0.2148,0.00012,REAL ESTATE VALUATION
MLP_TFLite_Reg,1.98981,0.1631,2.65442,0.21699,0.65274,0.07401,11.52344,2.60683,0.21945,0.00012,STUDENT PERFORMANCE
MLP_TFLite_Reg,0.55271,0.01939,0.72198,0.02441,0.3338,0.03696,5.64844,17.33934,0.21386,0.00012,WINE QUALITY
