Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
MLP_TFLite_Reg,1.6219,0.10691,2.38254,0.21059,0.45177,0.05832,4.36719,14.11522,0.23478,0.00013,ABALONE
MLP_TFLite_Reg,0.08611,0.0041,0.14018,0.00834,0.86956,0.01608,5.80469,20.08309,0.23089,0.00013,AIR QUALITY
MLP_TFLite_Reg,0.24045,0.00518,0.37283,0.01309,0.66929,0.02265,5.21094,50.80561,0.2696,0.00013,APPLIANCES ENERGY PREDICTION
MLP_TFLite_Reg,1710.22424,235.56961,2317.88661,445.65671,0.88851,0.06489,6.46094,2.72768,0.23919,0.00013,AUTOMOBILE
MLP_TFLite_Reg,80.96074,4.29255,146.28823,7.04833,0.34829,0.05321,4.52344,25.27252,0.23774,0.00013,BIKE SHARING HOURLY
MLP_TFLite_Reg,0.10525,0.00777,0.15677,0.01267,0.54016,0.08542,7.27344,5.97678,0.23939,0.00013,COMMUNITIES AND CRIME
MLP_TFLite_Reg,0.36891,0.0536,0.5268,0.07821,0.92779,0.02207,4.99219,4.01376,0.23797,0.00013,OBESITY LEVELS
MLP_TFLite_Reg,5.63444,0.7954,8.53368,1.84912,0.58723,0.12406,4.33594,3.92193,0.23851,0.00013,REAL ESTATE VALUATION
MLP_TFLite_Reg,2.04426,0.18175,2.71814,0.20291,0.63761,0.06627,5.96094,2.75131,0.23897,0.00013,STUDENT PERFORMANCE
MLP_TFLite_Reg,0.55278,0.01983,0.7216,0.02522,0.33449,0.03798,4.49219,17.2319,0.23747,0.00013,WINE QUALITY
