Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_TFLite_Clas,0.97706,0.0297,0.95286,0.05997,0.98072,0.02037,0.93856,0.07866,4.83594,8e-05,3.32436,0.23535,CAR
MLP_TFLite_Clas,0.70571,0.03918,0.67763,0.04284,0.67801,0.04338,0.67904,0.04251,4.45312,8e-05,4.87349,0.23666,DIABETES
MLP_TFLite_Clas,0.87001,0.00508,0.85275,0.0059,0.86796,0.00657,0.84268,0.00644,4.51562,8e-05,53.62843,0.2653,GAMMA
MLP_TFLite_Clas,0.98197,0.00338,0.98273,0.00329,0.98289,0.00317,0.98283,0.0033,21.90625,9e-05,14.23669,0.25286,HAR
MLP_TFLite_Clas,0.93778,0.03624,0.93787,0.03596,0.94235,0.03444,0.93778,0.03624,4.36719,8e-05,4.00978,0.23724,IRIS
MLP_TFLite_Clas,0.8934,0.00528,0.89323,0.00522,0.89721,0.00467,0.8931,0.00523,5.73438,8e-05,33.56419,0.23857,LETTER RECOGNITION
MLP_TFLite_Clas,0.92523,0.00478,0.92413,0.00482,0.92557,0.0047,0.92408,0.00476,29.04688,8e-05,13.80807,0.26393,MNIST
MLP_TFLite_Clas,0.93023,0.02525,0.94912,0.02053,0.96016,0.0136,0.94655,0.02587,6.02344,8e-05,3.53713,0.24255,SOYBEAN
MLP_TFLite_Clas,0.72272,0.01415,0.65578,0.01423,0.65935,0.01488,0.65541,0.01478,5.36719,8e-05,13.41552,0.33998,STUDENT DROPOUT
MLP_TFLite_Clas,0.97751,0.01839,0.97788,0.01842,0.97863,0.01839,0.97848,0.01823,4.64844,8e-05,2.25723,0.24721,WINE
