Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_TFLite_Clas,0.9973,0.00325,0.99249,0.0144,0.9921,0.01323,0.99381,0.01355,7.00391,7e-05,3.7758,0.21073,CAR
MLP_TFLite_Clas,0.71481,0.03155,0.68781,0.03243,0.68839,0.03346,0.68919,0.03188,5.33203,7e-05,4.96198,0.21387,DIABETES
MLP_TFLite_Clas,0.87492,0.00586,0.85799,0.00665,0.87475,0.00777,0.84708,0.00679,5.58203,7e-05,56.66636,0.24549,GAMMA
MLP_TFLite_Clas,0.98252,0.00344,0.98335,0.00322,0.98367,0.00316,0.98329,0.00325,74.72266,7e-05,14.42656,0.21403,HAR
MLP_TFLite_Clas,0.95111,0.04366,0.95121,0.04339,0.95527,0.04091,0.95111,0.04366,4.91016,7e-05,3.89279,0.21894,IRIS
MLP_TFLite_Clas,0.90402,0.00668,0.90371,0.00677,0.90676,0.00599,0.90371,0.00666,7.9375,7e-05,39.13512,0.21286,LETTER RECOGNITION
MLP_TFLite_Clas,0.93103,0.00485,0.93009,0.00496,0.93084,0.00469,0.93006,0.00505,102.875,8e-05,15.08366,0.21626,MNIST
MLP_TFLite_Clas,0.93169,0.01856,0.95501,0.01328,0.96138,0.01085,0.95466,0.01575,9.84766,7e-05,3.92407,0.2127,SOYBEAN
MLP_TFLite_Clas,0.71835,0.01393,0.65239,0.01705,0.65563,0.01717,0.65147,0.01759,8.91016,7e-05,14.30587,0.32608,STUDENT DROPOUT
MLP_TFLite_Clas,0.97942,0.01913,0.97945,0.01952,0.9796,0.01963,0.98034,0.01936,6.03516,7e-05,2.40442,0.22119,WINE
