Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_TFLite_Clas,0.97841,0.02497,0.95278,0.05521,0.98011,0.0205,0.93995,0.07122,4.83594,8e-05,1.69993,0.24824,CAR
MLP_TFLite_Clas,0.71613,0.02678,0.68603,0.03334,0.68895,0.02957,0.6874,0.03608,4.4375,8e-05,3.3693,0.23869,DIABETES
MLP_TFLite_Clas,0.86518,0.00625,0.84601,0.00742,0.86593,0.00867,0.83405,0.00837,4.5,8e-05,22.32964,0.23625,GAMMA
MLP_TFLite_Clas,0.97372,0.00663,0.97479,0.00647,0.97612,0.00522,0.97491,0.00664,21.90625,9e-05,5.50628,0.25326,HAR
MLP_TFLite_Clas,0.93333,0.04037,0.93328,0.04013,0.93824,0.03899,0.93333,0.04037,4.35938,8e-05,4.21809,0.23601,IRIS
MLP_TFLite_Clas,0.88577,0.00768,0.88572,0.00768,0.8904,0.0072,0.88544,0.00769,5.73438,8e-05,18.25026,0.26921,LETTER RECOGNITION
MLP_TFLite_Clas,0.92467,0.00571,0.92355,0.00592,0.92519,0.0056,0.9233,0.00599,29.04688,8e-05,5.56408,0.25824,MNIST
MLP_TFLite_Clas,0.93266,0.01849,0.95136,0.0136,0.95903,0.01085,0.95066,0.01667,6.02344,8e-05,2.51971,0.23813,SOYBEAN
MLP_TFLite_Clas,0.70878,0.01141,0.646,0.00988,0.64757,0.01007,0.64614,0.01059,5.36719,8e-05,6.51035,0.23881,STUDENT DROPOUT
MLP_TFLite_Clas,0.97381,0.01907,0.97461,0.01904,0.97564,0.01863,0.97504,0.01917,4.64844,8e-05,1.4292,0.23805,WINE
