Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
MLP_TFLite_Reg,1.66625,0.0825,2.41703,0.16658,0.43524,0.04734,4.36719,8.17124,0.23734,0.00013,ABALONE
MLP_TFLite_Reg,0.08845,0.0039,0.14408,0.00869,0.86234,0.01647,5.78906,9.664,0.24843,0.00013,AIR QUALITY
MLP_TFLite_Reg,0.24573,0.00528,0.38085,0.0104,0.6551,0.01663,5.19531,21.6087,0.24186,0.00013,APPLIANCES ENERGY PREDICTION
MLP_TFLite_Reg,1742.10578,208.63129,2347.55158,400.51122,0.88636,0.06627,6.46094,1.57535,0.26299,0.00013,AUTOMOBILE
MLP_TFLite_Reg,80.12608,6.85126,142.56811,9.60019,0.37957,0.07739,4.52344,13.06182,0.24103,0.00013,BIKE SHARING HOURLY
MLP_TFLite_Reg,0.10819,0.00679,0.161,0.00864,0.51791,0.0489,7.27344,2.75906,0.27783,0.00013,COMMUNITIES AND CRIME
MLP_TFLite_Reg,0.37046,0.06264,0.53001,0.09316,0.92646,0.02637,4.99219,2.05794,0.28192,0.00013,OBESITY LEVELS
MLP_TFLite_Reg,5.9872,0.70414,9.16078,1.91733,0.52131,0.14976,4.33594,3.11897,0.23918,0.00013,REAL ESTATE VALUATION
MLP_TFLite_Reg,2.05258,0.16647,2.75144,0.15152,0.63071,0.04667,5.96094,1.52533,0.24296,0.00013,STUDENT PERFORMANCE
MLP_TFLite_Reg,0.55945,0.01554,0.73347,0.02214,0.31263,0.03161,4.49219,10.51729,0.23902,0.00013,WINE QUALITY
